min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
3,2,salience_only,0.5,Geological Feasibility,0.15,0.03436198167019163,0.1432327926201208,-0.006767207379879181
3,2,salience_only,0.5,Market Stability,0.15,0.014230436454527977,0.14181539617495603,-0.008184603825043962
3,2,salience_only,0.5,Local Employment,0.15,0.6057626467988476,0.18346324998650326,0.03346324998650327
3,2,salience_only,0.5,Community Infrastructure,0.1,0.277865568223982,0.10691805735315563,0.006918057353155621
3,2,salience_only,0.8,NPV,0.25,0.011279882073960136,0.2284136339155193,-0.021586366084480696
3,2,salience_only,0.8,IRR,0.2,0.008590495417547908,0.18234127587741758,-0.01765872412258243
3,2,salience_only,0.8,Geological Feasibility,0.15,0.03436198167019163,0.13955623569314493,-0.010443764306855063
3,2,salience_only,0.8,Market Stability,0.15,0.014230436454527977,0.13736878175953432,-0.012631218240465675
3,2,salience_only,0.8,Local Employment,0.15,0.6057626467988476,0.20164350317377905,0.051643503173779054
3,2,salience_only,0.8,Community Infrastructure,0.1,0.277865568223982,0.11067656958060491,0.010676569580604908
